feature,importance
engagement_rate_with_saves,0.37948716402982835
engagement_rate_no_saves,0.16459508446202184
like_rate,0.14255714854538368
save_rate,0.05300386236007229
hook_style_Tutorial,0.03309612073443938
comment_rate,0.028344534841719286
share_rate,0.02698954456225232
saves_or_favorites,0.01731386940782244
likes,0.017153422211256587
comments,0.015586472628893502
video_duration_seconds,0.0123914998989593
shares,0.012093551934484758
niche_category_Destination Guides,0.011799268387090008
followers_gained,0.009086516060709303
views,0.00864663709731787
hook_style_Dramatic,0.00853915922387483
niche_category_Visa Application Tips,0.007991499286009613
avg_watch_time_seconds,0.007612196379172773
watch_time_percentage_num,0.006274966875358572
duration_band_30_45,0.0061208461401187535
hook_style_Story,0.005778419670090751
post_hour,0.004334415672036555
duration_band_under_15,0.0021880781344242894
trending_sound_used,0.0019155674930170323
total_hashtag_count,0.0017122604887376423
hook_style_Statistic,0.0016629901385084302
hook_style_Question,0.0016615900114373093
content_format_clean_voiceover,0.0010314242438483057
duration_band_over_60,0.0009921445669081018
duration_band_45_60,0.0009724656859665606
day_of_week_Thursday,0.0009205821778235501
day_of_week_Wednesday,0.0009125721431565894
niche_category_Budget Travel,0.0009084604527417126
niche_category_Travel Hacks,0.0008916331307538448
content_format_clean_text_overlay,0.0008433466341067287
day_of_week_Saturday,0.0008270538195219272
day_of_week_Monday,0.0007731336389909398
day_of_week_Friday,0.0007368276100084883
day_of_week_Sunday,0.0007354589286050999
content_format_clean_screen_recording,0.0006137540370153001
duration_band_15_30,0.0005020627830532352
day_of_week_Tuesday,0.0004023934724621298
